pois_category,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
community,33.0,33.0,45.0,28.0,73.0,49.0,37.0,62.0,37.0,52.0,62.0,50.0,45.0,30.0,48.0,42.0,40.0,60.0,47.0,21.0,20.0,58.0,58.0,23.0,56.0,43.0,35.0,53.0,44.0,52.0,46.0,52.0,62.0
culture_entertainment,2.0,4.0,2.0,2.0,7.0,27.0,5.0,5.0,2.0,4.0,7.0,11.0,5.0,7.0,4.0,4.0,4.0,2.0,15.0,11.0,3.0,22.0,4.0,4.0,4.0,,3.0,14.0,3.0,13.0,3.0,9.0,40.0
eatery,25.0,196.0,61.0,159.0,227.0,693.0,526.0,317.0,204.0,204.0,151.0,331.0,289.0,250.0,164.0,78.0,114.0,112.0,535.0,424.0,105.0,527.0,218.0,165.0,280.0,105.0,134.0,464.0,231.0,495.0,149.0,470.0,1622.0
economic_activity,,41.0,10.0,20.0,31.0,57.0,50.0,15.0,21.0,13.0,18.0,20.0,19.0,22.0,33.0,15.0,12.0,3.0,27.0,44.0,12.0,26.0,22.0,11.0,24.0,12.0,7.0,29.0,26.0,28.0,14.0,41.0,122.0
education,9.0,12.0,3.0,12.0,5.0,26.0,6.0,7.0,20.0,38.0,5.0,13.0,11.0,5.0,7.0,11.0,10.0,8.0,6.0,12.0,11.0,9.0,9.0,9.0,10.0,4.0,3.0,8.0,6.0,10.0,13.0,6.0,30.0
family,1.0,11.0,5.0,9.0,12.0,10.0,1.0,22.0,9.0,9.0,4.0,8.0,8.0,7.0,8.0,5.0,2.0,2.0,13.0,14.0,3.0,14.0,17.0,8.0,8.0,3.0,16.0,10.0,6.0,29.0,15.0,21.0,10.0
mobility,32.0,119.0,57.0,161.0,146.0,796.0,340.0,156.0,266.0,222.0,165.0,501.0,398.0,157.0,117.0,50.0,101.0,132.0,551.0,740.0,121.0,854.0,239.0,173.0,593.0,82.0,363.0,776.0,89.0,649.0,386.0,397.0,1254.0
nightlife,7.0,42.0,54.0,31.0,86.0,166.0,182.0,69.0,78.0,59.0,58.0,106.0,84.0,57.0,27.0,45.0,62.0,64.0,140.0,73.0,49.0,162.0,61.0,33.0,57.0,26.0,37.0,126.0,38.0,84.0,37.0,113.0,264.0
public_services,9.0,24.0,19.0,18.0,24.0,23.0,12.0,30.0,29.0,19.0,21.0,22.0,6.0,16.0,17.0,18.0,21.0,7.0,27.0,20.0,13.0,31.0,19.0,18.0,23.0,14.0,11.0,19.0,21.0,20.0,11.0,19.0,39.0
wellbeing,14.0,46.0,14.0,47.0,54.0,80.0,36.0,96.0,54.0,43.0,40.0,41.0,45.0,59.0,64.0,29.0,28.0,15.0,54.0,82.0,17.0,77.0,46.0,57.0,53.0,40.0,35.0,59.0,68.0,71.0,39.0,87.0,174.0
